AuthorName           QuoteText                                                                    CreatedAt          
-------------------  ---------------------------------------------------------------------------  -------------------
Chrysippus           Live in agreement with nature.                                               2023-03-01T09:00:00
Chrysippus           The wise man is free from passion.                                           2023-07-04T11:00:00
Epictetus            It is not what happens to you, but how you react to it that matters.         2023-02-01T11:00:00
Epictetus            No man is free who is not master of himself.                                 2023-04-18T16:45:00
Epictetus            First say to yourself what you would be; and then do what you have to do.    2023-07-30T10:00:00
Friedrich Nietzsche  He who has a why to live can bear almost any how.                            2023-02-28T12:00:00
Friedrich Nietzsche  That which does not kill us makes us stronger.                               2023-06-11T14:00:00
Friedrich Nietzsche  Without music, life would be a mistake.                                      2023-11-02T10:00:00
Laozi                The journey of a thousand miles begins with a single step.                   2023-01-20T08:00:00
Laozi                Nature does not hurry, yet everything is accomplished.                       2023-05-05T09:30:00
Laozi                When I let go of what I am, I become what I might be.                        2023-09-25T17:00:00
Marcus Aurelius      You have power over your mind, not outside events.                           2023-01-05T07:30:00
Marcus Aurelius      The best revenge is to be unlike him who performed the injury.               2023-05-12T12:00:00
Marcus Aurelius      Waste no more time arguing about what a good man should be. Be one.          2023-08-01T09:00:00
Marcus Aurelius      Very little is needed to make a happy life.                                  2023-08-01T09:00:00
Ryan Holiday         The obstacle is the way.                                                     2023-09-10T08:00:00
Ryan Holiday         Focus on what is in your control, let go of what is not.                     2023-10-01T13:30:00
Seneca               We suffer more often in imagination than in reality.                         2023-01-10T08:00:00
Seneca               Luck is what happens when preparation meets opportunity.                     2023-03-22T09:15:00
Seneca               It is not that we have a short time to live, but that we waste a lot of it.  2023-06-05T14:20:00
Simone de Beauvoir   One is not born, but rather becomes, a woman.                                2023-03-08T09:00:00
Simone de Beauvoir   Change your life today. Do not gamble on the future, act now.                2023-07-15T16:00:00
Simone de Beauvoir   It is up to each of us to invent our own path.                               2023-12-01T11:00:00
Zeno of Citium       Well-being is realized by small steps, but is truly no small thing.          2023-02-14T10:00:00
Zeno of Citium       Man conquers the world by conquering himself.                                2023-06-19T15:00:00
